ID,Title,Content,Date,Permalink,Image URL,wpcf-award_name,wpcf-award-year,wpcf-awardee_fname,wpcf-awardee_lname,wpcf-awardee_institution,wpcf-awardee_description,wpcf-awardee_image,Slug,Status
14855,"Marshall, Garland R.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/marshall-garland-r/,,merrifield,2001,Garland R.,Marshall,"Washington University Medical School, St. Louis",,,marshall-garland-r,publish
14856,"Rich, Daniel H.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/rich-daniel-h/,,merrifield,1999,Daniel H.,Rich,"University of Wisconsin, Madison",,,rich-daniel-h,publish
14857,"Sakakibara, Shumpei",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/sakakibara-shumpei/,,merrifield,1997,Shumpei,Sakakibara,"Peptide Institute, Inc.",,,sakakibara-shumpei,publish
14858,"Stewart, John M.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/stewart-john-m/,,merrifield,1995,John M.,Stewart,University of Colorado at Denver,,,stewart-john-m,publish
14859,"Hruby, Victor J.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/hruby-victor-j/,,merrifield,1993,Victor J.,Hruby,University of Arizona,,,hruby-victor-j,publish
14860,"Veber, Daniel F.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/veber-daniel-f/,,merrifield,1991,Daniel F.,Veber,"Merck, Sharp & Dohme",,,veber-daniel-f,publish
14861,"Goodman, Murray",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/goodman-murray/,,merrifield,1989,Murray,Goodman,University of California at San Diego,,,goodman-murray,publish
14862,"Li, Cho Hao",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/li-cho-hao/,,merrifield,1987,Cho Hao,Li,University of California at San Francisco,,,li-cho-hao,publish
14863,"Schwyzer, Robert",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/schwyzer-robert/,,merrifield,1985,Robert,Schwyzer,Swiss Federal Institute of Technology,,,schwyzer-robert,publish
14864,"Hirschmann, Ralph F.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/hirschmann-ralph-f/,,merrifield,1983,Ralph F.,Hirschmann,"Merck, Sharp & Dohme",,,hirschmann-ralph-f,publish
14865,"Hofmann, Klaus",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/hofmann-klaus/,,merrifield,1981,Klaus,Hofmann,University of Pittsburgh - School of Medicine,,,hofmann-klaus,publish
14866,"Merrifield, Bruce",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/merrifield-bruce/,,merrifield,1979,Bruce,Merrifield,The Rockefeller University,,,merrifield-bruce,publish
14867,"Bodanszky, Miklos",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/bodanszky-miklos/,,merrifield,1977,Miklos,Bodanszky,Case Western Reserve University,,https://americanpeptidesociety.org/wp-content/uploads/2019/08/bodansky_miklos.jpg,bodanszky-miklos,publish
14868,"Beck-Sickinger, Annette",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/beck-sickinger-annette/,,duvigneaud,2019,Annette,Beck-Sickinger,Leipzig University,"<p>Annette G. Beck-Sickinger studied chemistry and biology at the University of Tübingen (Germany) and received her Ph. D. in organic chemistry.  She was post-doc with E. Carafoli (Laboratory of Biochemistry, ETH Zürich) and appointed as assistant professor of Pharmaceutical Biochemistry at ETH Zürich. Since October 1999, she is full professor of Biochemistry and Bioorganic Chemistry at the University of Leipzig. She spent a sabbatical at Vanderbilt University (Nashville, TN) as visiting professor.</p>
<p>Annette Beck-Sickinger was a member of the Board of the German Chemical Society (Gesellschaft Deutscher Chemiker, 2004-2012; Vice-President 2006-2008) and of the DFG panel „Biochemistry“ (2004-2012). Since 2017 she is member of the Board of the German Society for Biochemistry and Molecular Biology (gbm) and Vice-President. She has been awarded with many prices including the Leonidas Zervas Award of the European Peptide Society, the gold medal of the Max-Bergmann-Kreis (2009), the Leipzig Science Award (2016) and the Albrecht Kossel Award of Biochemistry of the GDCh (2018). She was honoured with the membership of the Saxonian Academy of Science in 2009 and in 2012, she became an elected member of the German National Academy of Sciences Leopoldina. In 2017, she was awarded with the Saxonian Order of Merit.</p>
<p>Her major reseach fields include structure-activity-relationships of peptide hormones and G protein coupled receptors and protein modification to study function and interaction. A tight connection of chemical methods, bioorganic synthesis and molecular biology tools, including cloning, receptor mutagenesis, protein expression and cell biochemistry is applied. Her interests include further the identification of novel targets, novel therapeutic concepts and innovative approaches to modify proteins as well as concepts for improved enzyme catalysis and biomaterials.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/Beck-Sickinger.jpg,beck-sickinger-annette,publish
